"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-01",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-02",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-03",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-04",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-05",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-06",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-07",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-08",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-09",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-10",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-11",,,"0.63",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-24","   13","0.05",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-26","    2","2.18",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-03","    8","0.01",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-04",,,"0.50",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-05",,,"0.05",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-06",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-07",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-08",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-09",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-10",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-11",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-14","    3","0.00",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-15",,,"1.10",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-16",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-17",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-18",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-19",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-20",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-21",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-27","    6","0.51",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-06","    7","0.14",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-07",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-08",,,"0.51",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-09",,,"0.06",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-11","    2","0.00",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-12",,,"1.45",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-13",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-14",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-15",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-16",,,"0.77",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-17",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-18",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-19",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-20",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-21",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-22",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-23",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-24",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-25",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-26",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-27",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-28",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-29",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-30",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-31",,,"0.45",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-01",,,"0.24",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-02",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-03",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-04",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-05",,,"0.34",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-06",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-07",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-08",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-09",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-10",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-11",,,"0.08",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-12",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-13",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-14",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-15",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-16",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-17",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-18",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-19",,,"0.21",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-20",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-21",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-22",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-23",,,"0.29",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-24",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-26","    2","1.19",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-27",,,"0.16",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-28",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-29",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-04-30",,,"0.02",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-01",,,"0.68",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-02",,,"2.55",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-03",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-04",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-05",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-07","    2","0.03",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-10","    3","2.90",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-11",,,"0.01",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-12",,,"0.64",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-13",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-14",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-15",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-16",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-19","    3","0.09",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-20",,,"0.00",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-21",,,"0.15",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-22",,,"0.47",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-23",,,"1.57",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-24",,,"1.26",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-26","    2","1.47",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-05-28","    2","0.09",,
